year,pa_code,pa_area,pa_cropland,pa_pctcrop,vol_deliv_cy,vol_deliv_cy_ag,vol_deliv_cy_mi,vol_deliv_wy,vol_deliv_wy_ag,vol_deliv_wy_mi,vol_maximum,vol_maximum_ag,vol_maximum_mi,swp_deliveries,swp_deliveries_ag,swp_deliveries_mi,swp_maxvol,swp_maxvol_ag,swp_maxvol_mi,swp_basemax,swp_basemax_ag,swp_basemax_mi,cvp_deliveries_cy,cvp_deliveries_cy_ag,cvp_deliveries_cy_mi,cvp_deliveries_wy,cvp_deliveries_wy_ag,cvp_deliveries_wy_mi,cvp_maxvol,cvp_maxvol_ag,cvp_maxvol_mi,loco_maxvol,loco_maxvol_ag,loco_maxvol_mi,loco_deliveries,loco_deliveries_ag,loco_deliveries_mi,rights_avgdivert,rights_avgdivert_ag,rights_avgdivert_mi,pct_allocation,pct_allocation_ag,pct_allocation_mi,swp_pctallo_ag,swp_pctallo_mi,cvp_pctallo_ag,cvp_pctallo_mi
2015,1001,17590.7390784348,.1842671650811099,.000010475237,5464.461081495741,65.49999898672104,5398.96108250902,5464.461081495741,65.49999898672104,5398.96108250902,16036.47461854503,65.49999898672104,15970.97461955831,5381.914763331413,0,5381.914763331413,19642.69798612595,0,19642.69798612595,15953.92830038071,0,15953.92830038071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.54631816432811,65.49999898672104,17.04631917760707,.20411792,1,.20085387,,.2,,
2016,1001,17590.7390784348,.1842671650811099,.000010475237,9780.321663847426,65.49999898672104,9714.821664860705,9780.321663847426,65.49999898672104,9714.821664860705,16036.47461854503,65.49999898672104,15970.97461955831,9697.775345683098,0,9697.775345683098,19642.69798612595,0,19642.69798612595,15953.92830038071,0,15953.92830038071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.54631816432811,65.49999898672104,17.04631917760707,.60205901,1,.60042697,,.60000002,,
2017,1001,17590.7390784348,.1842671650811099,.000010475237,13186.90040420578,65.49999898672104,13121.40040521906,13186.90040420578,65.49999898672104,13121.40040521906,16036.47461854503,65.49999898672104,15970.97461955831,13104.35408604145,0,13104.35408604145,19642.69798612595,0,19642.69798612595,15953.92830038071,0,15953.92830038071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.54631816432811,65.49999898672104,17.04631917760707,.85077214,1,.85016012,,.85000002,,
2018,1001,17590.7390784348,.1842671650811099,.000010475237,9498.130535295466,65.49999898672104,9432.630536308745,9498.130535295466,65.49999898672104,9432.630536308745,16036.47461854503,65.49999898672104,15970.97461955831,9415.584217131138,0,9415.584217131138,19642.69798612595,0,19642.69798612595,15953.92830038071,0,15953.92830038071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.54631816432811,65.49999898672104,17.04631917760707,.35334581,1,.35069376,,.34999999,,
2019,1001,17590.7390784348,.1842671650811099,.000010475237,11209.71972714947,65.49999898672104,11144.21972816275,11209.71972714947,65.49999898672104,11144.21972816275,16036.47461854503,65.49999898672104,15970.97461955831,11127.17340898514,0,11127.17340898514,19642.69798612595,0,19642.69798612595,15953.92830038071,0,15953.92830038071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.54631816432811,65.49999898672104,17.04631917760707,.75128686,1,.75026685,,.75,,
2020,1001,17590.7390784348,.1842671650811099,.000010475237,6552.648165932158,65.49999898672104,6487.148166945437,6552.648165932158,65.49999898672104,6487.148166945437,16036.47461854503,65.49999898672104,15970.97461955831,6470.10184776783,0,6470.10184776783,19642.69798612595,0,19642.69798612595,15953.92830038071,0,15953.92830038071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.54631816432811,65.49999898672104,17.04631917760707,.20411792,1,.20085387,,.2,,
2021,1001,17590.7390784348,.1842671650811099,.000010475237,8692.134640446166,65.49999898672104,8626.634641459445,8692.134640446166,65.49999898672104,8626.634641459445,16036.47461854503,65.49999898672104,15970.97461955831,8609.588322281837,0,8609.588322281837,19642.69798612595,0,19642.69798612595,15953.92830038071,0,15953.92830038071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.54631816432811,65.49999898672104,17.04631917760707,.05489004,1,.051013965,,.050000001,,
2022,1001,17590.7390784348,.1842671650811099,.000010475237,3960.365294745425,65.49999898672104,3894.865295758704,3960.365294745425,65.49999898672104,3894.865295758704,16036.47461854503,65.49999898672104,15970.97461955831,3877.818976581097,0,3877.818976581097,19642.69798612595,0,19642.69798612595,15953.92830038071,0,15953.92830038071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.54631816432811,65.49999898672104,17.04631917760707,.05489004,1,.051013965,,.050000001,,
2023,1001,17590.7390784348,.1842671650811099,.000010475237,14868.05743538425,65.49999898672104,14802.55743639753,14868.05743538425,65.49999898672104,14802.55743639753,16036.47461854503,65.49999898672104,15970.97461955831,14785.51111721992,0,14785.51111721992,19642.69798612595,0,19642.69798612595,15953.92830038071,0,15953.92830038071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.54631816432811,65.49999898672104,17.04631917760707,1,1,1,,1,,
2024,1001,17590.7390784348,.1842671650811099,.000010475237,8585.160315981368,65.49999898672104,8519.660316994647,8585.160315981368,65.49999898672104,8519.660316994647,16036.47461854503,65.49999898672104,15970.97461955831,8502.613997817039,0,8502.613997817039,19642.69798612595,0,19642.69798612595,15953.92830038071,0,15953.92830038071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.54631816432811,65.49999898672104,17.04631917760707,.40308845,1,.4006404,,.40000001,,
1993,1002,5603.45019597305,306.0444537050789,.054617144,380440.0701411515,362278.0411541462,18162.01568503678,380440.0701411515,362278.0411541462,18162.01568503678,75906.54423940182,32764.0260444954,43142.5201305151,16271.24783603102,0,16271.24783603102,42644.34286817908,0,42644.34286817908,41251.75246462226,0,41251.75246462226,0,0,0,0,0,0,0,0,0,0,0,0,329514.0091204643,329514.0091204643,0,34654.79396598041,32764.0260444954,1890.767921485007,1,1,1,,1,,
